handle,url,title,description,google_query,google_title,google_snippet,score,url_type,discovered_at
MRCPsych,https://t.me/MRCPsych,MRCPSYCH & PSYCHIATRY,Psychiatric Medicine	For contact : @Dr_Fatto,telegram ebook pdf,MRCPSYCH & PSYCHIATRY – Telegram,#Pharmacology #Psychopharmacology #Guideline #ebook. Practical Guideline for The Pharmacological Treatment of Patients With Alcohol Use Disorder ⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️.,0,channel_or_user,2026-01-11T09:51:43+00:00
eBooksCafe,https://t.me/eBooksCafe,eBooks Cafe,Sharing snippets from books & various pockets of the internet 		Buy ads: https://telega.io/c/ebookscafe		Contact: @Blissmanagerbot for Credits & queries,telegram ebook pdf,eBooks Cafe – Telegram,"Out of all the non fiction books ive read over the years, personal finance has had the biggest impact on my life. From basic budgeting, to managing ...",2,channel_or_user,2026-01-11T09:51:43+00:00
GURUKULHUBCHANNEL,https://t.me/GURUKULHUBCHANNEL,Gurukul Hub,WE PROVIDE DAILY MATHS AND GK PDF FOR ALL COMPETETIVE EXAMS,telegram ebook pdf,Gurukul Hub – Telegram,"... ebook-pdf-in-hind… 3.57K viewsMohit K, 01:22. February 27, 2022. Gurukul Hub. Important Ebook Pdf For Railway & SSC Exams Complete Physics and Chemistry ...",2,channel_or_user,2026-01-11T09:51:43+00:00
ebookshop_kh,https://t.me/ebookshop_kh,ebook shop លក់សៀវភៅអេឡិត្រូនិច,មានលក់សៀវភៅអេឡិចត្រូនិចទម្រង់​ (PDF) គ្រប់ប្រភេទសម្រាប់អ្នកសិក្សា​ និងកុមារ,telegram ebook pdf,ebook shop លក់សៀវភៅអេឡិត្រូនិច – Telegram,IQ Test Self-Scoring PDF Format Price 1$ only Tel: 071 636 9991 (Telegram/WhatsApp) #IQ #Math #Test #Self-Scoring #Exercise #ebook #PDF. 9 views 02:33.,4,channel_or_user,2026-01-11T09:51:43+00:00
RBE_S,https://t.me/RBE_S,RBE- REVOLUTION BY EDUCATION,"🚀 Join RBE - Revolution By Education for Govt Exam preparation.	यहाँ मिलेगा smart study plans, best mock tests, PYQs, latest updates & shortcut tricks जो आपकी SSC & Railway तैयारी को next level तक ले जाएंगे! 🚀💯",telegram ebook pdf,View @RBE_S - Telegram,"Join RBE - Revolution By Education for Govt Exam preparation. यहाँ मिलेगा smart study plans, best mock tests, PYQs, latest updates & shortcut tricks जो आपकी SSC ...",0,channel_or_user,2026-01-11T09:51:43+00:00
Archicad,https://t.me/Archicad,ARCHICAD,📂Folder: t.me/addlist/7LU_-vGJ9hIxZjdk	🗣Group: t.me/+pwUJZDD52HE4ZTdk	🌃Edu Archicad: @Rammehraz_bot	🌐Website: Rammehraz.com,telegram ebook pdf,ARCHICAD – Telegram,"Sep 4, 2024 ... ○ MSBIM 2022 ArchiCAD PRO Template Manual eBook (Pdf) ○ EFFICIENCY-ArchiCAD Key Features eBook (Pdf) ○ How to load the template Video(Mp4).",0,channel_or_user,2026-01-11T09:51:43+00:00
IESMechanical,https://t.me/IESMechanical,IES Mechanical📚🛠⚙,This group only for helpfull materials for  preparation for IES /GATE/JE in MECHANICAL Stream .(All materials  are copied from the internet or other source AND Non-Profits  Group )		Connect with admin - @IESMecha_bot,telegram ebook pdf,IES Mechanical – Telegram,"6.28K views 02:32. November 29, 2021. IES Mechanical ⚙. Forwarded from IES Mechanical ⚙. SSC JE MECHANICAL EBOOK.pdf. 5.98K views 05:33. November 29, 2021.",0,channel_or_user,2026-01-11T09:51:43+00:00
pdfebupkitap,https://t.me/pdfebupkitap,DERS&OKUMA KİTAPLARI PDF-EBUP,"Klasik kitaplar, yabancı kitaplar, yks2025 kitapları,Wattpad kitapları hepsi bu kanalda 	💕🫧HOŞGELDİNİZ 🫧💕	https://t.me/kitappdfebupp",telegram kitap pdf,View @pdfebupkitap - Telegram,"https://t.me/kitappdfebupp. View in Telegram · Preview channel. If you have Telegram, you can view and join. DERS&OKUMA KİTAPLARI PDF-EBUP right away.",7,channel_or_user,2026-01-11T09:51:43+00:00
dKitap,https://t.me/dKitap,E Kitap PDF,Okuma kitapları PDF|EPUB	Sesli Kitaplar: @sesli_kitap_arsivi	Dergi: @dergiarsivi,telegram kitap pdf,View @dKitap - Telegram,"Sesli Kitaplar: @sesli_kitap_arsivi. Dergi: @dergiarsivi · View in Telegram · Preview channel. If you have Telegram, you can view and join. E Kitap PDF right ...",9,channel_or_user,2026-01-11T09:51:43+00:00
yks_pdf2025,https://t.me/yks_pdf2025,YKS 2026 PDF SORU BANKASI,You can view and join @yks_pdf2025 right away.,telegram kitap pdf,View @yks_pdf2025 - Telegram,"YKS 2026 PDF SORU BANKASI. 18 521 subscribers. View in Telegram · Preview channel. If you have Telegram, you can view and join. YKS 2026 PDF SORU BANKASI right ...",5,channel_or_user,2026-01-11T09:51:43+00:00
hukukmesleklerinegirissinavi,https://t.me/hukukmesleklerinegirissinavi,2026 HMGS,"👉🏼Soru-cevaplar, yardımlaşmalar, network, haberler.	👉🏼 İletişim ➡️ @adaletmulkuntemelidir	👉🏼Alenen kitap pdf paylaşımları yapılamaz.",telegram kitap pdf,View @hukukmesleklerinegirissinavi - Telegram,"Soru-cevaplar, yardımlaşmalar, network, haberler. İletişim ➡️ @adaletmulkuntemelidir Alenen kitap pdf paylaşımları yapılamaz. View in Telegram.",3,channel_or_user,2026-01-11T09:51:43+00:00
ykspdf24,https://t.me/ykspdf24,YKS KİTAP PDF 2026,ÜCRETSİZ YKS KİTAP PDF KANALI,telegram kitap pdf,View @ykspdf24 - Telegram,"YKS KİTAP PDF 2026. 44 716 subscribers. ÜCRETSİZ YKS KİTAP PDF KANALI. View in Telegram · Preview channel. If you have Telegram, you can view and join",5,channel_or_user,2026-01-11T09:51:43+00:00
kitapotag,https://t.me/kitapotag,Kitap Otağ,"Kitap Otağ resmî Telegram kanalıdır. Sosyal medyada paylaşamadığımız içerik ve haberleri, sitemizde yayımladığımız yazıları buradan paylaşıyoruz.		İg: instagram.com/kitapotag		Reklam ve iletişim için: t.me/sahaneserseri",telegram kitap pdf,Kitap Otağ – Telegram,Türk Tarih Kurumu Kütüphanesinde yer alan 29.483 adet nadir eser çevrimiçi ortama aktarılarak halkın hizmetine sunuldu. Ücretsiz Pdf indirme imkanı da mevcut.,2,channel_or_user,2026-01-11T09:51:43+00:00
tkutuphanebot,https://t.me/tkutuphanebot,T-Kütüphane × Kitap ve Makale Ara,Bir Nexus klonu | @MagentaFox,telegram kitap pdf,Launch @tkutuphanebot - Telegram,"T-Kütüphane × Kitap ve Makale Ara. @tkutuphanebot. Bir Nexus klonu | @MagentaFox · Start Bot. If you have Telegram, you can launch. T-Kütüphane × Kitap ve ...",2,channel_or_user,2026-01-11T09:51:43+00:00
ykskitappdf,https://t.me/ykskitappdf,YKS KİTAP PDF,"Bu zorlu pandemi sürecinde ve sınav senenizde sizlere en güncel ve en verimli kaynakları ulaştırmayı hedefliyoruz. 		Herhangi bir öneri, istek veya benzeri durumlarda lütfen bize form üzerinden ulaşınız.(Form linki: https://forms.gle/C3ASEkGejPJJeXp2A )",telegram kitap pdf,YKS KİTAP PDF – Telegram,"Jul 7, 2020 ... Merhabalar sevgili arkadaşlar, kanalımız bünyesinde elimizden geldiği kadar YKS'ye yönelik pdf paylaşımı yaparak siz dostlarımıza yardımcı ...",6,channel_or_user,2026-01-11T09:51:43+00:00
Ekitap_oku,https://t.me/Ekitap_oku,E Kitap,You can view and join @Ekitap_oku right away.,telegram kitap pdf,View @Ekitap_oku - Telegram,"E-Kitap | PDF Kitap. 124 subscribers. Ekitap pdf kitap sesli kitap. View in Telegram · Preview channel. If you have Telegram, you can view and join",4,channel_or_user,2026-01-11T09:51:43+00:00
HAMASW,https://t.me/HAMASW,HAMAS-ISRAEL WAR,For communication and advertising: @LIVIN1984 @ebuibram,telegram kitap pdf,HAMAS-ISRAEL WAR – Telegram,Kitap Alıntıları / Book Excerpts ⊵ İşte Salihler Böyleydi ⊵ Sebat Medya PDF - Sesli Kitaplar / PDF - Audiobooks ✒️ ⊵ İslami E-Kütüphane 🎙️ ⊵ Sesli ...,0,channel_or_user,2026-01-11T09:51:43+00:00
islamikitapp,https://t.me/islamikitapp,İslami E-Kütüphane / Dini Kitap PDF - EPUB,📚 Pdf & Epub E- Kitap Arşivi,telegram kitap pdf,View @islamikitapp - Telegram,"İslami E-Kütüphane / Dini Kitap PDF - EPUB. 3 111 members, 127 online. Pdf & Epub E- Kitap Arşivi. View in Telegram. If you have Telegram, ...",6,channel_or_user,2026-01-11T09:51:43+00:00
pdflikiraz,https://t.me/pdflikiraz,YKS KPSS DGS PDF 2025,"KPSS, DGS, YKS  YE DAİR KİTAP VE DENEME PDF LERİ		🍒Daha fazla kanal için : https://t.me/addlist/vJAzPr0a2W9mMTlk		Reklam ve iş birliği: @Kiraz_13",telegram kitap pdf,View @pdflikiraz - Telegram,"YKS KPSS DGS PDF 2025. 2 300 subscribers. KPSS, DGS, YKS YE DAİR KİTAP VE DENEME PDF LERİ Daha fazla kanal için : https://t.me/addlist/vJAzPr0a2W9mMTlk",6,channel_or_user,2026-01-11T09:51:43+00:00
boyovut_matematiklar,https://t.me/boyovut_matematiklar,Boyovut mat+akt,"Hayotning  ikkita bezagi bor :   matematika bilan shug’ullanish va o’qitish	Kanalga a’zo bo‘lish @boyovut_matematiklar	Reklama uchun @bjalilova	Tashkilotchi: Jalilova(Turgunova) Barno Rahmatovna	Savollar, takliflar uchun https://t.me/boymatem guruhi",telegram kitap pdf,Boyovut mat+akt – Telegram,TYT - AYT Geometri Yaprak Test (2)_test_geom+J.pdf. 25.9 MB · ORİJİNAL_GEOMETRİ_ÇOKGENLER. 24.2 MB · EİS Geometri 1.Kitap 2.Bölüm. 7.7 MB · BES-TYT-AYT GEOMETRİ ...,0,message,2026-01-11T09:51:43+00:00
dusdemy,https://t.me/dusdemy,DUSDEMY,DUS EĞİTİM PLATFORMU,telegram kitap pdf,DUSDEMY – Telegram,"13 Aralık Cuma 10.00 telegram kanalımız üzerinden PDF paylasacağız. Soruları ... Emel Karaman'ın hazırladığı ""Restoratif Diş Tedavisi Konu Anlatım Kitabı"" ve Prof ...",0,message,2026-01-11T09:51:43+00:00
almazov_centre,https://t.me/almazov_centre,Центр Алмазова,"НМИЦ им. В. А. Алмазова Минздрава России — ведущий российский центр по оказанию высококвалифицированной медицинской помощи населению, выполнению научных исследований, подготовке кадров, повышению квалификации врачей.",telegram kitap pdf,View @almazov_centre - Telegram,"НМИЦ им. В. А. Алмазова Минздрава России — ведущий российский центр по оказанию высококвалифицированной медицинской помощи населению, выполнению научных ...",0,channel_or_user,2026-01-11T09:51:43+00:00
IELTS_CAMBRIDGE1,https://t.me/IELTS_CAMBRIDGE1,IELTS Cambridge 1-18 Full Package Books,The full package of IELTS Cambridge books with Audio files is freely accessible here.,telegram kitap pdf,View @IELTS_CAMBRIDGE1 - Telegram,"The full package of IELTS Cambridge books with Audio files is freely accessible here. View in Telegram · Preview channel. If you have Telegram, you can view and ...",0,channel_or_user,2026-01-11T09:51:43+00:00
kitap_pdf0,https://t.me/kitap_pdf0,Kitap PDF Arşivi Roman Hikaye,Kaliteli kitaplar için kanalımıza katılabilirsiniz.,telegram kitap pdf,View @kitap_pdf0 - Telegram,Kitap PDF Arşivi Roman Hikaye. 31 498 subscribers. Kaliteli kitaplar için kanalımıza katılabilirsiniz. View in Telegram.,5,channel_or_user,2026-01-11T09:51:43+00:00
vetfakpdf,https://t.me/vetfakpdf,VETERİNER HEKİM-TEKNİKER VE TEKNİSYENİ İÇİN PDF VE NOT KANALI🐾🐄🩺🐑🐐🐕🐔,"Veteriner Hekimliği ve Teknikerliğe dair PDF ve notlar ...	       ""Denilebilir ki; insan hekimliği, veteriner hekimliği yanında okyanusa karşı iç deniz gibidir. Beşeri Hekimlik insan içindir oysa Veteriner Hekimlik insanlık içindir.""	İsmet İnönü Paşa",telegram kitap pdf,View @vetfakpdf - Telegram,"Veteriner Hekimliği ve Teknikerliğe dair PDF ve notlar ... ""Denilebilir ki; insan hekimliği, veteriner hekimliği yanında okyanusa karşı iç deniz gibidir.",5,channel_or_user,2026-01-11T09:51:43+00:00
ielts_8,https://t.me/ielts_8,IELTS Academy,👤 Contact & Ads: @nae0110		ORIGINAL CONTENT ❗		Beyond plagiarism		Since 2019,telegram kitap pdf,IELTS Academy – Telegram,VIEW IN TELEGRAM. IELTS Simon ‍ : IELTS Preparation 10 study tips for IELTS ... Collins Practice Tests for IELTS 2 @IELTS_8.pdf. 17.6 MB. Collins IELTS ...,0,channel_or_user,2026-01-11T09:51:43+00:00
tipdemy,https://t.me/tipdemy,Tıpdemy | Tusverse,Tıpdemy ve Tusverse eğitim platformlarının resmi kanalıdır.,telegram kitap pdf,Tıpdemy | Tusverse – Telegram,DRPATOLOJİ HIZLI TEKRAR KAMP KİTABI.pdf. 2 MB. Son düzlükte sadece 120 sayfayla güzel bir patoloji tekrarı için olabilecek en kapsamlı kaynak. #reklam,0,channel_or_user,2026-01-11T09:51:43+00:00
yusufkaplanmedia,https://t.me/yusufkaplanmedia,Yusuf Kaplan Medya,"Yusuf Hocamızın ve MTO’nun tek resmî hesabıdır.	Kanalda paylaşılanlar Hocamız tarafından takip edilmektedir! 	Yusuf Hocamızın yazıları, paylaşımları buradan ilan edilecektir.",telegram kitap pdf,Yusuf Kaplan Medya – Telegram,"Kitap son.pdf. 254.9 KB. 2.61K viewsyusuf kaplan, 12:49. November 20, 2024 ... VIEW IN TELEGRAM. Öğretmenler gününüz kutlu olsun can hocam. 3.17K views ...",0,channel_or_user,2026-01-11T09:51:43+00:00
tuhfemeclisi,https://t.me/tuhfemeclisi,TUHFE MECLİSİ/Ahmed POLAT,"Hanefi fıkhı alanında telif edilen, Alâuddin es-Semerkandî'nin(v.539) ""Tuhfetü'l-Fukaha"" isimli eserinin okunduğu ders hakkında bilgi kanalıdır.		Ders okuyan: Ahmed POLAT 		İ. Ahmed POLAT (@ahmedpolat69). https://twitter.com/ahmedpolat69?s=09",telegram kitap pdf,TUHFE MECLİSİ/Ahmed POLAT – Telegram,"Apr 4, 2020 ... 3- تحفة الفقهاء.pdf. 4.7 MB. 3.62K views 16:25. April 10, 2020. TUHFE MECLİSİ/Ahmed POLAT. 3 ciltlik Tuhfe'nin pdf'i kitabı olmayan buradan ...",1,channel_or_user,2026-01-11T09:51:43+00:00
miraz_PDF,https://t.me/miraz_PDF,Mir.az Kitab,Bilmek Değiştirir . 	Kitapların hayatınızda bir yeri varsa bu kanal tam sizin içindir.	Wp: https://whatsapp.com/channel/0029Vb61pMC7z4kmB7UUQW1T		whatsapp: +994515299358	mail: info@mir.az	Instagram: @mirazkitab	1000k: okuryus	İletişim: @okuryus,telegram kitap pdf,Mir.az Kitab – Telegram,"VIEW IN TELEGRAM. Kitaplara sitemizden ulaşa bilirsiniz Sayın Mir.az Ailesi ... Osman Aysu ""Çöl akrebi"" PDF » Kitap indir - Mir.az. Adı Leyla... Yaşı 28 ...",2,channel_or_user,2026-01-11T09:51:43+00:00
atillauslu,https://t.me/atillauslu,Dr Dahiliye 📖🚀,İç Hastalıkları ve Hematoloji Uzmanı Dr. Atilla Uslu tarafından yönetilmektedir. 	Dahiliye paylaşımları ve duyuruların yapılacağı kanaldır.,telegram kitap pdf,Dr Dahiliye – Telegram,Kitap baskıları bittiğinde rutin bir şekilde yeni baskılar çıkacaktır. ... 13 Aralık Cuma 10.00 TIPDEMY telegram kanalımız üzerinden PDF paylasacağız.,0,channel_or_user,2026-01-11T09:51:43+00:00
ebooooksbot,https://t.me/ebooooksbot,eBooks,"Ebooks from PdfDrive, Library Genesis, eBook-Hunter, Anna's Archive, Zlibrary, and OpenLibrary

creater: @shadoooow",telegram ebooks archive,Launch @ebooooksbot - Telegram,"Ebooks from PdfDrive, Library Genesis, eBook-Hunter, Anna's Archive, Zlibrary, and OpenLibrary creater: @shadoooow · Start Bot. If you have Telegram, you can ...",4,channel_or_user,2026-01-11T09:51:43+00:00
Audiobooks_Collection,https://t.me/Audiobooks_Collection,Quotes Collection • Quotes Archive • Book Snippets,ℹ️DMCA DISCLOSURE: 	https://telegra.ph/DMCA-Disclosure-for-Audiobooks-collection-and-eBookscafe-channel-08-31		Sharing Insights from Books	Contact : @Blissmanagerbot,telegram ebooks archive,Quotes Collection • Quotes Archive • Book Snippets – Telegram,Which book would you add to the list?? @Audiobooks_collection @eBooksCafe @TheBestTwitterThreads. Click On The Book Link ☝️ to Download eBook + Audiobook ...,2,channel_or_user,2026-01-11T09:51:43+00:00
qformgroup,https://t.me/qformgroup,QForm Group,"Welcome to the official QFORM GROUP channel. Here you will find news, announcements, event schedules and other important information.		www.qform3d.com",telegram ebooks archive,View @qformgroup - Telegram,"Welcome to the official QFORM GROUP channel. Here you will find news, announcements, event schedules and other important information. www.qform3d.com.",0,channel_or_user,2026-01-11T09:51:43+00:00
audiobooks_collection,https://t.me/audiobooks_collection,Quotes Collection • Quotes Archive • Book Snippets,ℹ️DMCA DISCLOSURE: 	https://telegra.ph/DMCA-Disclosure-for-Audiobooks-collection-and-eBookscafe-channel-08-31		Sharing Insights from Books	Contact : @Blissmanagerbot,telegram ebooks archive,Quotes Collection • Quotes Archive • Book Snippets – Telegram,Quotes from The Rudest Book Ever. @Audiobooks_collection @eBooksCafe @TheBestTwitterThreads. ❤11 3 1  ...,2,channel_or_user,2026-01-11T09:51:43+00:00
Audiobooks_collection,https://t.me/Audiobooks_collection,Quotes Collection • Quotes Archive • Book Snippets,ℹ️DMCA DISCLOSURE: 	https://telegra.ph/DMCA-Disclosure-for-Audiobooks-collection-and-eBookscafe-channel-08-31		Sharing Insights from Books	Contact : @Blissmanagerbot,telegram ebooks archive,Quotes Collection • Quotes Archive • Book Snippets – Telegram,Odds are it isn't. Odds are you just think whatever you're told.” @Audiobooks_collection @eBooksCafe @TheBestTwitterThreads. 10 ...,2,channel_or_user,2026-01-11T09:51:43+00:00
archive_artbooks,https://t.me/archive_artbooks,Artbook Archive,Art Chive (Artbooks Archive) https://t.me/archive_artbook,telegram ebooks archive,View @archive_artbooks - Telegram,"Art Chive (Artbooks Archive) https://t.me/archive_artbook. View in Telegram. If you have Telegram, you can view and join. Artbook Archive right away.",0,channel_or_user,2026-01-11T09:51:43+00:00
BlenderTutorsFull,https://t.me/BlenderTutorsFull,BlenderTutorsFull,BlenderTutorsFull - Tutoriais de Blender do Básico ao avançado,telegram ebooks archive,BlenderTutorsFull – Telegram,"Model and render stem cells in eevee using Blender 2.8. - Grab a free CG Animation Time Saver eBook here, learn about the industry and get lots of shortcuts ...",0,channel_or_user,2026-01-11T09:51:43+00:00
paulwaggenerofficial,https://t.me/paulwaggenerofficial,Paul Waggener Official,"Home of all associated projects, news updates and power propaganda. 		www.paulwaggener.com",telegram ebooks archive,Paul Waggener Official – Telegram,"... ebooks, audio, etc. I don't run storewide discounts like this often so if ... archive, which you can permanently access for a one time donation. HERE.",0,channel_or_user,2026-01-11T09:51:43+00:00
audiobooksarchive,https://t.me/audiobooksarchive,Audio Books Archive,"Recommendations, quotes, and more to keep your love of reading alive.		Contact: @hodler",telegram ebooks archive,Audio Books Archive – Telegram,"Our pinned message features a lively community of book lovers, sharing ebooks and audiobooks — all free of charge. Join us now for an endless supply of ...",0,channel_or_user,2026-01-11T09:51:43+00:00
EbookRoom,https://t.me/EbookRoom,eBook Room,"Get interesting pdf books related to biography, business, fiction, humor, nonfiction, novel, philosophy, poetry, politics, self-help.		Buy ads:	https://telega.io/c/eBookRoom",telegram ebooks archive,eBook Room – Telegram,"In The Graveyard Of Empires · Seth G. Jones · 4.4MB ; The Mitrokhin Archive II: The KGB in the World · Christopher Andrew, Vasili Mitrokhin · 8.9 MB ; Boots Belts ...",4,channel_or_user,2026-01-11T09:51:43+00:00
usefarabi,https://t.me/usefarabi,"Dentistry E-Book, Course & Journal",Dentistry Original E-Books & E-Journals & Courses,telegram ebooks archive,"Dentistry E-Book, Course & Journal – Telegram",Special Packages Archive from 1951 to 2026 ———— E-Journal: The Journal of Prosthetic Dentistry (JPD) 816 issues (12 issues/year) ———- For order this package ...,2,channel_or_user,2026-01-11T09:51:43+00:00
lrcwiut,https://t.me/lrcwiut,LRC-WIUT,Official channel of Learning Resource Center (LRC) at Westminster International University in Tashkent (WIUT) 	https://linktr.ee/wiutlrc,telegram ebooks archive,LRC-WIUT – Telegram,"Full-text dissertations are archived as submitted by the degree-granting institution. Some will be native PDF, some PDF image. For off-campus access please ...",0,channel_or_user,2026-01-11T09:51:43+00:00
thebitverse,https://t.me/thebitverse,Bitverse Announcements,The latest official news and information from The Bitverse! | Discord.gg/bitverse,telegram ebooks archive,View @thebitverse - Telegram,"... from The Bitverse! | Discord.gg/bitverse. View in Telegram · Preview channel. If you have Telegram, you can view and join. Bitverse Announcements right away.",0,channel_or_user,2026-01-11T09:51:43+00:00
TheAmberRoom,https://t.me/TheAmberRoom,The Amber Room,Various Tabletop RPGS and RPG related assets.		Pinned messages has rules and tags for searching.		The group link for requesting and submiting  to the channel contact admins,telegram ebooks archive,The Amber Room – Telegram,Various Tabletop RPGS and RPG related assets. Pinned messages has rules and tags for searching. The group link for requesting and submiting to the channel ...,0,channel_or_user,2026-01-11T09:51:43+00:00
AudiobooksArchive,https://t.me/AudiobooksArchive,Audio Books Archive,"Recommendations, quotes, and more to keep your love of reading alive.		Contact: @hodler",telegram ebooks archive,View @AudiobooksArchive - Telegram,"... love of reading alive. Contact: @hodler · View in Telegram · Preview channel. If you have Telegram, you can view and join. Audio Books Archive right away.",0,channel_or_user,2026-01-11T09:51:43+00:00
XiaomiFirmwareUpdater,https://t.me/XiaomiFirmwareUpdater,XM Firmware Updater,Auto updated XM firmware flashable zip files.	https://xmfirmwareupdater.com	XDA: https://bit.ly/2Fl9lLZ	By @yshalsager	Network: @yshalsager_projects	Buy ads: https://telega.io/c/XiaomiFirmwareUpdater,telegram ebooks archive,XM Firmware Updater – Telegram,"08:33 · V14.0.4.0.TGOINXM | 13.0Firmware Archive ... You can do this using GitHub Sponsors, LibrePay, or PayPal. Telegram. eBook Converter Bot.",0,channel_or_user,2026-01-11T09:51:43+00:00
obsidian_hub,https://t.me/obsidian_hub,Obsidian Hub,"Obsidian, Zettelkasten, etc.	Подборки, ссылки и прочие материалы для изучения		Вход: #MOC",telegram ebooks archive,Obsidian Hub – Telegram,- How to Take Smart Notes in Obsidian eBook - Smart Notes Obsidian ... - LYT Kit 6 (archive) - LYT Kit 5 (archive) #NickMilo #LYT #obsidian #vault ...,0,channel_or_user,2026-01-11T09:51:43+00:00
jpbookpdf,https://t.me/jpbookpdf,Japan Digital Library 📖,"Welcome to ""Japan Digital Library""		Owner Acc - @Nao_Yuki",telegram ebooks archive,View @jpbookpdf - Telegram,"Welcome to ""Japan Digital Library"" Owner Acc - @Nao_Yuki · View in Telegram · Preview channel. If you have Telegram, you can view and join",1,channel_or_user,2026-01-11T09:51:43+00:00
